# TimeFrame
#
# t_0 = 0.000000
# t_end = 1000.000000
# dt = 0.010000
#
# Neuron
#
# type = LIF
# mu = 1.100000
# D = 0.000500
#
# Simulation
#
# type = suscept_sim
# c = 0.500000
# N_neurons = 100000
#
# Data format: f, Re[chi_1(f)], Im[chi_1(f)], Re[chi_2(f,f)], Im[chi_2(f,f)]
0.000000,-nan,-nan,-nan,-nan
0.001000,1.508866,0.003263,2.402685,2.912956
0.002000,1.503325,0.002963,-4.657870,-1.170912
0.003000,1.507810,0.007614,-0.659307,1.144039
0.004000,1.507696,0.013204,2.530981,-4.598124
0.005000,1.505365,0.026479,-2.423001,-0.782802
0.006000,1.508802,0.016097,-2.741850,3.219772
0.007000,1.506292,0.019279,-0.039670,3.243828
0.008000,1.505448,0.021009,-0.161313,4.538962
0.009000,1.510409,0.033132,-3.047776,3.883334
0.010000,1.503831,0.040171,-2.176366,1.404159
0.011000,1.505546,0.036425,-5.026311,6.107865
0.012000,1.503800,0.041444,-2.377809,-0.070051
0.013000,1.504099,0.045477,-0.644556,0.407835
0.014000,1.507166,0.046289,-0.152995,1.906254
0.015000,1.502801,0.058720,-6.017604,4.231508
0.016000,1.515458,0.062026,-4.990950,0.433090
0.017000,1.503237,0.068826,2.224167,-2.466582
0.018000,1.510914,0.061918,1.401606,1.651768
0.019000,1.508858,0.071679,-2.496725,0.205663
0.020000,1.508143,0.070494,-2.476175,-2.784014
0.021000,1.509397,0.075389,-0.704038,1.198586
0.022000,1.510843,0.071960,-3.008837,-1.947681
0.023000,1.515345,0.082132,4.444466,-2.907229
0.024000,1.496858,0.091077,1.174470,-8.964617
0.025000,1.507389,0.093415,0.715277,2.426194
0.026000,1.512369,0.090281,-4.694192,-0.070102
0.027000,1.509906,0.099497,-2.679425,0.995122
0.028000,1.508875,0.103003,-1.518626,0.372130
0.029000,1.518456,0.113038,-0.693619,-3.722293
0.030000,1.505389,0.108733,0.094628,0.968170
0.031000,1.507309,0.119248,1.902669,3.407589
0.032000,1.511138,0.110730,-3.471300,1.155243
0.033000,1.504841,0.113149,6.986389,0.690944
0.034000,1.504942,0.125956,-3.651859,5.062259
0.035000,1.497386,0.124198,1.098382,0.565774
0.036000,1.512423,0.127683,2.212487,0.099501
0.037000,1.510774,0.131463,-3.088483,4.445767
0.038000,1.502537,0.122337,-1.975766,1.361605
0.039000,1.511189,0.141934,-1.622579,-1.736484
0.040000,1.506808,0.134158,-1.499011,-1.850937
0.041000,1.493150,0.151451,-3.726666,3.531866
0.042000,1.508046,0.149412,-5.463428,-2.517024
0.043000,1.500684,0.158064,-1.312680,-2.132633
0.044000,1.506996,0.145535,-9.746835,-4.785997
0.045000,1.499881,0.166769,-5.777120,-0.850885
0.046000,1.509748,0.149972,-4.170366,-0.932964
0.047000,1.506720,0.169974,-1.421005,0.699882
0.048000,1.519800,0.178460,-1.919634,-1.654083
0.049000,1.502308,0.177241,-8.974677,1.545619
0.050000,1.512269,0.172334,-2.481082,-2.325797
0.051000,1.507312,0.178474,2.316026,2.613648
0.052000,1.515161,0.180490,-0.744017,6.047414
0.053000,1.505443,0.189048,-1.459001,-0.618510
0.054000,1.507654,0.199183,0.747436,-0.055524
0.055000,1.514425,0.198170,-2.968539,-7.469441
0.056000,1.511524,0.199063,1.162965,-1.192982
0.057000,1.504404,0.204087,-2.792760,1.652570
0.058000,1.490572,0.208928,-2.612089,-2.381653
0.059000,1.507912,0.216060,2.366850,-1.450537
0.060000,1.500463,0.214393,2.540854,0.714050
0.061000,1.508649,0.211305,-1.369138,2.442447
0.062000,1.499584,0.216150,3.629020,-0.483407
0.063000,1.501540,0.226695,-1.946020,-4.206211
0.064000,1.510806,0.223515,4.755558,-3.796848
0.065000,1.500329,0.233726,1.785973,-1.305536
0.066000,1.501846,0.232352,1.242968,-3.482023
0.067000,1.505620,0.244650,-1.107226,-5.293267
0.068000,1.510397,0.248482,-0.595380,-7.205600
0.069000,1.502030,0.249548,-5.142336,-3.813423
0.070000,1.500820,0.258527,3.090534,-3.834065
0.071000,1.513865,0.248546,-3.018997,-0.828380
0.072000,1.516237,0.258872,-0.581982,-5.367435
0.073000,1.513955,0.269855,-0.776559,1.892349
0.074000,1.511819,0.255024,-6.377543,0.569019
0.075000,1.502463,0.270022,-2.180393,-5.302621
0.076000,1.503016,0.277903,2.389510,-6.968052
0.077000,1.504766,0.279211,-4.976139,2.743144
0.078000,1.515742,0.288287,1.917117,0.233520
0.079000,1.497669,0.286211,-2.541418,0.913740
0.080000,1.501787,0.285734,-2.727036,3.375335
0.081000,1.505606,0.295577,2.026226,-1.942829
0.082000,1.506032,0.299258,-1.778516,2.264701
0.083000,1.501895,0.307845,-4.380309,4.436206
0.084000,1.508486,0.297429,-2.429115,1.730678
0.085000,1.505975,0.309688,-8.012630,-0.826255
0.086000,1.509860,0.313280,-0.792230,0.854654
0.087000,1.506007,0.323965,-0.095115,-3.697178
0.088000,1.512431,0.334528,-2.603433,-0.500265
0.089000,1.494356,0.336367,1.735446,-1.255660
0.090000,1.506162,0.335549,0.095300,-1.748069
0.091000,1.509358,0.332916,1.682137,10.030970
0.092000,1.508852,0.341990,4.969252,2.950997
0.093000,1.516483,0.341562,-0.816930,-7.542423
0.094000,1.503104,0.347312,-2.293204,-5.026754
0.095000,1.501776,0.353818,-5.466632,-2.287192
0.096000,1.510877,0.352384,4.288349,-0.846528
0.097000,1.508054,0.370706,-2.587401,-2.366857
0.098000,1.504512,0.360462,1.341144,-1.321969
0.099000,1.502662,0.366952,-1.462255,-0.797240
0.100000,1.502210,0.381239,0.329222,-7.175704
0.101000,1.504453,0.381357,-1.618546,-4.662757
0.102000,1.502246,0.379061,4.818422,2.283209
0.103000,1.508866,0.384505,3.965732,3.716210
0.104000,1.495411,0.386740,-2.999158,3.391632
0.105000,1.503064,0.395980,-1.527600,-5.519888
0.106000,1.511398,0.395076,-1.304662,1.172876
0.107000,1.510571,0.398057,-1.340366,5.663698
0.108000,1.508540,0.402846,3.552320,-8.728907
0.109000,1.503405,0.416205,-0.690233,2.760969
0.110000,1.508866,0.415387,4.620395,-4.223644
0.111000,1.512095,0.418428,-5.767557,-1.675581
0.112000,1.501778,0.425698,-4.629965,2.884449
0.113000,1.499007,0.426287,-3.167531,-1.702209
0.114000,1.516815,0.429567,-1.340224,-3.467214
0.115000,1.505769,0.433231,-1.890765,-9.942218
0.116000,1.494511,0.440244,-4.626332,-3.498178
0.117000,1.508240,0.439806,-1.382370,6.247173
0.118000,1.504027,0.443292,-10.190663,-6.819312
0.119000,1.511003,0.451821,-5.840292,-6.989765
0.120000,1.512901,0.459465,-8.367207,10.346572
0.121000,1.506765,0.467072,-1.984212,-7.845548
0.122000,1.508816,0.455878,-5.303298,-0.862398
0.123000,1.504663,0.463454,7.935229,2.050313
0.124000,1.507289,0.475137,2.475872,-8.502456
0.125000,1.500301,0.480837,8.681901,-9.296358
0.126000,1.500680,0.470874,1.529676,-9.208620
0.127000,1.493946,0.487402,-5.039646,1.017357
0.128000,1.509958,0.486895,3.702041,-8.717002
0.129000,1.510518,0.492489,-7.181006,-3.339824
0.130000,1.501689,0.493526,6.405515,-8.638562
0.131000,1.506162,0.493005,1.627470,-8.603842
0.132000,1.498295,0.512005,1.182315,-10.514000
0.133000,1.499176,0.521178,-4.034010,-7.288529
0.134000,1.504115,0.515427,8.477219,-0.992529
0.135000,1.505273,0.512417,5.266697,-6.428534
0.136000,1.496176,0.532477,-6.993713,7.837977
0.137000,1.507419,0.526343,2.953957,-5.515140
0.138000,1.500009,0.535074,-3.140051,-3.947761
0.139000,1.498959,0.539758,0.507807,-1.034633
0.140000,1.511581,0.554768,-2.517309,-10.308582
0.141000,1.498539,0.547111,3.865519,2.484575
0.142000,1.504320,0.546406,1.068399,-3.796466
0.143000,1.499529,0.554958,-9.455015,-1.429797
0.144000,1.495368,0.548712,7.160068,3.772008
0.145000,1.500877,0.560043,-1.379414,-20.940835
0.146000,1.498842,0.570245,3.988161,2.296202
0.147000,1.508817,0.571963,1.199035,-9.104787
0.148000,1.504979,0.587253,-3.185860,3.567885
0.149000,1.506801,0.595409,-1.837346,-4.653503
0.150000,1.505006,0.586176,-3.310778,7.941775
0.151000,1.503289,0.597753,-24.236732,6.157440
0.152000,1.514917,0.595140,-2.232621,-22.509978
0.153000,1.510463,0.602812,-6.373209,-3.986375
0.154000,1.495586,0.616134,2.167763,-4.455590
0.155000,1.500487,0.613030,-1.274488,-10.664647
0.156000,1.507611,0.606455,7.988638,9.119472
0.157000,1.503999,0.625629,15.558677,-12.554294
0.158000,1.496113,0.620630,-6.930577,-3.054016
0.159000,1.507750,0.645582,13.358897,-14.093334
0.160000,1.504689,0.632685,5.973509,-17.865507
0.161000,1.501409,0.645707,10.042613,-10.380304
0.162000,1.507736,0.646831,-18.835706,6.621406
0.163000,1.507485,0.663143,-13.005030,-5.689555
0.164000,1.501475,0.661063,-9.454023,-1.842744
0.165000,1.507920,0.665655,-7.060643,4.497965
0.166000,1.502626,0.679792,11.682933,-8.688652
0.167000,1.498576,0.674650,21.218031,16.344933
0.168000,1.494363,0.675058,24.729625,-19.996903
0.169000,1.504123,0.686684,3.173583,-21.985831
0.170000,1.499883,0.690232,-17.591614,-21.498068
0.171000,1.500420,0.699511,-16.873138,-10.835711
0.172000,1.504909,0.705220,-31.200749,-6.928015
0.173000,1.499910,0.716845,17.237374,-26.585535
0.174000,1.503827,0.713183,-16.341610,-34.075930
0.175000,1.494743,0.720215,-11.943815,-14.713036
0.176000,1.497134,0.728477,16.927125,-23.433246
0.177000,1.486453,0.725720,-5.378909,6.614401
0.178000,1.512706,0.725084,-19.273286,-24.363306
0.179000,1.505764,0.740085,-5.093109,1.872307
0.180000,1.493997,0.736208,-23.450962,11.436655
0.181000,1.511318,0.744837,-9.102611,-32.980246
0.182000,1.503154,0.748435,-7.093363,0.801747
0.183000,1.501218,0.756623,-9.861807,-25.351092
0.184000,1.500326,0.768476,22.558624,12.984594
0.185000,1.503248,0.777014,-19.592278,-19.231099
0.186000,1.510556,0.776961,17.648904,-2.539882
0.187000,1.510785,0.779940,-16.349557,5.751723
0.188000,1.500662,0.787796,-13.551984,-4.768959
0.189000,1.498053,0.790959,16.474481,-52.878926
0.190000,1.506757,0.801117,-38.994822,-19.988592
0.191000,1.498924,0.817268,14.781833,39.840636
0.192000,1.495151,0.803164,-38.792627,-13.895667
0.193000,1.500403,0.828320,-38.732737,-71.170208
0.194000,1.497978,0.814296,2.464443,-26.414360
0.195000,1.492566,0.825606,-2.206665,8.931876
0.196000,1.487931,0.832037,37.224930,-17.372944
0.197000,1.504125,0.837056,20.380773,-70.631777
0.198000,1.494010,0.850092,-97.460733,-23.585981
0.199000,1.498792,0.860572,-42.091881,-45.329128
0.200000,1.510233,0.861572,24.971885,-40.160862
0.201000,1.493863,0.849256,-40.734251,-45.274506
0.202000,1.498500,0.867730,26.360971,-11.829548
0.203000,1.499348,0.893342,-30.864346,-73.241693
0.204000,1.491962,0.887585,-95.716922,-15.956790
0.205000,1.492503,0.891569,38.452676,-28.676950
0.206000,1.500965,0.892845,-22.885813,-24.459976
0.207000,1.499929,0.918771,68.168823,-18.034216
0.208000,1.499225,0.920964,-68.871515,-11.072128
0.209000,1.508541,0.913231,-77.977428,-48.209924
0.210000,1.490794,0.927911,19.919314,47.253625
0.211000,1.491891,0.928496,-144.268438,-16.071932
0.212000,1.495857,0.944975,-24.131462,-13.208853
0.213000,1.488545,0.957629,-104.129637,-12.740982
0.214000,1.495434,0.960715,-74.809832,-153.524327
0.215000,1.491963,0.944534,-69.169573,-51.514107
0.216000,1.515765,0.955993,-45.303361,106.360956
0.217000,1.502673,0.962742,-70.992049,86.924566
0.218000,1.504945,0.976271,-74.500571,-35.348576
0.219000,1.483405,0.991220,10.087238,26.298488
0.220000,1.492931,0.996591,-26.962759,-87.146639
0.221000,1.498195,1.002433,-66.966137,-8.229968
0.222000,1.503289,1.012202,-72.435055,-9.599062
0.223000,1.496086,1.017738,-52.353121,-31.147615
0.224000,1.480906,1.004990,5.169500,-10.580579
0.225000,1.500267,1.026400,-63.538820,53.171264
0.226000,1.505523,1.034393,1.397274,6.076749
0.227000,1.505815,1.061868,-39.005270,23.403422
0.228000,1.500618,1.055485,100.986186,46.732385
0.229000,1.490247,1.075851,68.440992,-43.851692
0.230000,1.513414,1.062226,-32.011491,-7.578069
0.231000,1.501554,1.074214,38.357676,-32.527223
0.232000,1.505650,1.087103,-45.986374,13.867815
0.233000,1.480255,1.089764,-63.808496,6.565224
0.234000,1.484955,1.096890,-20.085057,-35.071557
0.235000,1.495980,1.109058,-45.704693,31.067702
0.236000,1.501452,1.109399,19.625171,63.510651
0.237000,1.508783,1.132241,-18.002277,-1.613468
0.238000,1.499726,1.141018,-48.682319,31.216722
0.239000,1.499286,1.132942,-10.159929,2.036692
0.240000,1.494268,1.152147,-49.646831,-1.248638
0.241000,1.483368,1.150424,-18.032418,-10.000234
0.242000,1.509635,1.166119,-39.513831,-5.818656
0.243000,1.516934,1.165575,-27.231705,21.211598
0.244000,1.497162,1.185439,7.095840,24.815710
